case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
1080_TRT11	0.1316	0.4706	0.1667
1080_TRT15	0.0263	0.1765	0.4167
1080_TRT20	0.8684	0.5882	0.4167
1080_TRT21	0.0789	0.8235	0.3333
1080_TRT4	0.4211	0.7647	0.1667
1080_TRT8	0.7105	0.5882	0.6667
10819_TRT18	0.0789	0.0588	0.25
1081_TRT11	0.3947	0.4706	0.0833
1081_TRT12	0.8421	0.8824	1.0
1081_TRT15	0.4211	0.0	0.8333
1081_TRT20	0.7105	0.5882	0.5
1081_TRT21	0.7105	0.8235	0.25
1081_TRT22	0.2895	0.7059	0.9167
1081_TRT8	0.6316	0.5882	0.6667
10820_TRT18	0.7895	0.0588	0.75
10822_TRT18	0.7895	0.5882	0.8333
10828_TRT18	0.7895	0.5882	0.5833
1082_TRT20	0.8684	0.5882	0.25
10830_TRT18	0.1053	0.2353	0.25
10832_TRT18	0.1053	0.1765	0.5
10835_TRT18	0.1053	0.2353	0.5
10838_TRT18	0.7105	1.0	0.5833
1083_TRT11	0.2895	0.4706	0.4167
1083_TRT12	1.0	0.6471	0.6667
1083_TRT15	0.0	0.0	0.0833
1083_TRT20	0.8684	0.5882	0.9167
1083_TRT8	0.6316	0.5882	0.9167
10843_TRT18	0.7105	1.0	0.8333
10844_TRT18	0.3158	0.5882	0.25
10845_TRT18	0.6316	0.2353	0.25
10846_TRT18	0.1053	0.2353	0.9167
10847_TRT18	0.8158	0.5882	0.25
1084_TRT12	0.8421	0.8824	1.0
1084_TRT15	0.0	0.0	0.25
